br	fr_target	fr_gpt-3.5-turbo	score_gpt-3.5-turbo	price_x	tokens_x	br_words	fr_gpt-4-turbo-2024-04-09	score_gpt-4-turbo-2024-04-09	price_y	tokens_y
C'hoant am eus da zebriñ	J'ai envie de manger	J'ai envie de crier	0.9412039518356323	0.0002535	271	5	Je veux manger	0.8292538523674011	0.00252	270
Ar wirionez zo gantañ	 Il a raison	 La vérité est avec lui	0.8446410894393921	0.0002535	271	4	 Il détient la vérité	0.913360059261322	0.00252	270
Ar c'hi zo bras awalc'h	Le chien est assez grand	 Le chien est toujours grand	0.9153085350990295	0.0002535	271	5	 Le chien est assez grand	1.0000001192092896	0.00252	270
Na vezit ket e gortoz e rofen ar respontoù deoc’h	Ne vous attendez pas à ce que je vous donne les réponses	 Ne restez pas à attendre qu'il vous donne les réponses	0.9465942978858948	0.0002535	271	10	 Ne vous attendez pas à ce que je vous donne les réponses	1.0000001192092896	0.00252	270
Reolennoù ar broponi hag ar yec’hederezh ne oant ket ar memes re ha bremañ	Les règles de propreté et d'hygiène n'étaient pas les mêmes que maintenant	 Les règles de la ferme et de la santé n'étaient pas les mêmes qu'aujourd'hui	0.9545673131942749	0.0002535	271	14	 Les règles de la propreté et de la santé n'étaient pas les mêmes qu'aujourd'hui	0.9654496312141418	0.00252	270
 Paotred Mari-Robin o devoa kaset anezhi d'ar brizon	Les gendarmes l'avaient envoyée en prison	 Les garçons de Mari-Robin l'avaient emmenée à l'hôpital	0.914490818977356	0.0002535	271	9	 Les hommes de Mari-Robin l'avaient emmenée en prison	0.9296885132789612	0.00252	270
E vouezh a oa gouraouliet	Sa voix était légèrement enrouée	 Sa voix était étouffée	0.9366621375083923	0.0002535	271	5	 Sa voix était rauque	0.9317725300788879	0.00252	270
Setu amañ ur pardon	En voilà une comédie	 Voici une excuse	0.9193428754806519	0.0002535	271	4	 Voici un pardon	0.8811087608337402	0.00252	270
Bezo du, bezo gwenn, pep gavr a gar he menn	Qu'il soit noir, qu'il soit blanc, chaque chèvre aime son chevreau	 Noir ou blanc, chaque chèvre aime sa montagne	0.8108608722686768	0.0002535	271	10	 Qu'il soit noir, qu'il soit blanc, chaque chèvre aime son chevreau	1.0	0.00252	270
Echu eo	C'est fini	 C'est fini	0.9999998211860657	0.0002535	271	2	 C'est fini	0.9999998211860657	0.00252	270
